,CIK,AUM,positionsNumber,portfolio_turnover,portfolio_duration,top_10_holdings,yield_from_last_report,yield_from_1_year,yield_from_3_year
116,1033984,7.55,107.47,0.13,0.05,0.44,-0.01,-0.1,-0.16
117,1107310,7.32,53.8,0.21,0.03,0.43,0.04,0.13,0.2
118,1214822,7.27,57.84,0.21,0.04,0.44,0.08,0.12,0.15
119,883961,7.24,778.0,0.24,0.01,0.18,0.23,0.16,0.09
120,1542302,7.22,35.58,0.08,0.05,0.45,0.05,0.06,-0.03
121,1214639,7.08,49.0,0.11,0.06,0.63,0.05,0.11,0.08
122,1224962,7.07,172.14,0.16,0.03,0.43,0.29,0.49,0.26
123,1008322,6.93,969.15,0.77,0.03,0.16,0.02,-0.02,-0.09
124,1393825,6.9,663.56,0.38,0.02,0.35,0.11,0.39,0.22
125,1336528,6.64,7.63,0.05,0.23,1.0,0.04,0.12,0.15
126,1011443,6.64,379.6,0.24,0.11,0.76,0.03,3.93,0.0
127,1443689,6.56,54.63,0.32,0.03,0.45,0.06,0.01,-0.17
128,1326389,6.54,471.76,0.35,0.05,0.4,0.12,0.14,0.04
129,1509842,6.44,124.8,0.44,0.03,0.45,0.07,0.02,-0.19
130,1040592,6.4,103.1,0.12,0.02,0.28,0.03,0.09,0.11
131,1051359,6.29,63.75,0.6,0.06,0.66,-0.14,-0.06,-0.18
132,1387322,6.16,41.39,0.21,0.04,0.48,0.14,0.5,1.03
133,1103882,6.16,3485.68,0.54,0.02,0.26,0.05,-0.11,-0.14
134,1317583,6.1,215.1,0.38,0.02,0.25,0.06,0.38,-0.17
135,1565854,6.08,92.65,0.28,0.03,0.49,0.02,0.16,0.3
136,1279396,6.0,229.39,0.3,0.02,0.39,0.06,0.38,0.67
137,9015,5.96,1302.81,0.42,0.02,0.35,0.14,0.0,-0.07
138,1656456,5.96,40.5,0.17,0.06,0.71,0.04,0.2,-0.05
139,1480751,5.92,228.32,0.23,0.02,0.33,0.05,0.51,1.23
140,1035674,5.66,63.94,0.14,0.05,0.66,0.07,-0.05,-0.11
141,1556921,5.62,706.8,0.54,0.01,0.26,0.03,0.31,0.25
142,1802881,5.6,607.4,0.4,0.02,0.28,0.26,0.0,0.0
143,1224324,5.49,178.25,0.08,0.04,0.43,0.03,-0.03,-0.1
144,846222,5.47,24.4,0.21,0.07,0.88,0.04,0.03,-0.07
145,1352924,5.34,12.53,0.09,0.13,0.99,0.08,0.31,0.35
146,1788587,5.25,448.43,7.64,0.02,0.32,0.57,0.5,0.0
147,1097278,5.08,273.3,0.35,0.02,0.21,0.02,-0.03,-0.04
148,1510589,4.97,40.53,0.08,0.11,0.88,0.05,-0.02,-0.03
149,1388814,4.94,109.05,0.55,0.06,0.41,-0.01,-0.06,-0.08
150,1427119,4.93,27.8,0.2,0.11,0.79,0.04,0.1,0.06
151,1352342,4.92,200.55,0.2,0.02,0.22,0.04,0.24,0.5
152,1450701,4.79,2.4,0.2,0.22,1.0,0.09,0.49,0.0
153,1531721,4.74,1842.15,0.79,0.02,0.18,0.04,0.1,0.17
154,1078013,4.72,883.83,0.49,0.02,0.15,-0.01,0.08,0.03
